sample_id,timestamp,sensor_thumb,sensor_index,sensor_middle,sensor_ring,sensor_pinky,sensor_accel_x,sensor_accel_y,sensor_accel_z,sensor_gyro_x,sensor_gyro_y,sensor_z,label
41de5cb7-0e67-4053-8730-a213c841cfc3_14,55,0,0,0,0,0,-7.29,1.03,9.87,-0.24,-0.19,0.04,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,56,0,0,0,0,0,-7.29,1.04,9.91,-0.21,-0.15,0.04,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,57,0,0,0,0,0,-7.29,1.05,9.95,-0.18,-0.10,0.04,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,58,0,0,0,0,0,-7.29,1.06,9.96,-0.17,-0.07,0.05,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,59,0,0,0,0,0,-7.30,1.06,9.96,-0.13,-0.04,0.05,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,60,0,0,0,0,0,-7.31,1.07,9.96,-0.10,-0.01,0.05,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,61,0,0,0,0,0,-7.30,1.08,9.95,-0.06,0.01,0.05,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,62,0,0,0,0,0,-7.30,1.09,9.93,0.00,0.04,0.05,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,63,0,0,0,0,0,-7.29,1.08,9.90,0.03,0.05,0.05,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,64,0,0,0,0,0,-7.29,1.10,9.86,0.04,0.06,0.05,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,65,0,0,0,0,0,-7.29,1.13,9.83,0.04,0.06,0.06,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,66,0,0,0,0,0,-7.30,1.17,9.80,0.06,0.06,0.06,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,67,0,0,0,0,0,-7.30,1.20,9.76,0.08,0.06,0.06,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,68,0,0,0,0,0,-7.31,1.23,9.73,0.11,0.06,0.06,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,69,0,0,0,0,0,-7.31,1.26,9.71,0.11,0.06,0.05,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,70,0,0,0,0,0,-7.31,1.29,9.68,0.11,0.06,0.05,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,71,0,0,0,0,0,-7.31,1.32,9.66,0.10,0.05,0.05,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,72,0,0,0,0,0,-7.32,1.33,9.65,0.08,0.05,0.04,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,73,0,0,0,0,0,-7.32,1.35,9.63,0.08,0.04,0.03,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,74,0,0,0,0,0,-7.33,1.36,9.62,0.08,0.04,0.02,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,75,0,0,0,0,0,-7.33,1.35,9.62,0.09,0.03,0.01,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,76,0,0,0,0,0,-7.33,1.34,9.61,0.09,0.02,0.01,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,77,0,0,0,0,0,-7.33,1.33,9.61,0.08,0.02,0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,78,0,0,0,0,0,-7.32,1.30,9.61,0.07,0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,79,0,0,0,0,0,-7.32,1.29,9.62,0.06,0.01,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,80,0,0,0,0,0,-7.32,1.28,9.63,0.05,0.00,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,81,0,0,0,0,0,-7.32,1.27,9.64,0.04,-0.00,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,82,0,0,0,0,0,-7.32,1.27,9.65,0.04,-0.00,0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,83,0,0,0,0,0,-7.32,1.27,9.65,0.04,-0.01,0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,84,0,0,0,0,0,-7.32,1.27,9.66,0.04,-0.01,0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,85,0,0,0,0,0,-7.32,1.28,9.66,0.04,-0.00,0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,86,0,0,0,0,0,-7.32,1.29,9.66,0.04,-0.00,0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,87,0,0,0,0,0,-7.32,1.30,9.67,0.04,-0.00,0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,88,0,0,0,0,0,-7.33,1.30,9.67,0.04,-0.00,0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,89,0,0,0,0,0,-7.33,1.30,9.67,0.04,-0.00,0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,90,0,0,0,0,0,-7.32,1.30,9.67,0.03,-0.00,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,91,0,0,0,0,0,-7.33,1.29,9.67,0.02,-0.00,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,92,0,0,0,0,0,-7.33,1.30,9.67,0.02,-0.00,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,93,0,0,0,0,0,-7.33,1.29,9.67,0.02,-0.00,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,94,0,0,0,0,0,-7.32,1.28,9.67,0.02,-0.00,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,95,0,0,0,0,0,-7.31,1.28,9.67,0.02,-0.00,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,96,0,0,0,0,0,-7.31,1.28,9.66,0.01,-0.00,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,97,0,0,0,0,0,-7.31,1.29,9.66,0.01,-0.00,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,98,0,0,0,0,0,-7.31,1.29,9.66,0.01,-0.00,-0.00,5
41de5cb7-0e67-4053-8730-a213c841cfc3_14,99,0,0,0,0,0,-7.31,1.30,9.66,0.01,-0.00,-0.00,5
2d5f20d8-114c-41ec-bf6a-028db25441a5_15,0,0,0,0,0,0,-7.31,1.26,9.58,0.03,0.00,0.00,5
